,Produit,2022,2021,2020
66,74 Cuivre et ouvrages en cuivre,13526987.0,25233070.0,15921576.0
67,76 Aluminium et ouvrages en aluminium,27390144.0,30094232.0,32852374.0
68,78 Plomb et ouvrages en plomb,33268.0,,16206.0
69,79 Zinc et ouvrages en zinc,,10322.0,
70,80 Etain et ouvrages en étain,641600.0,361300.0,73000.0
71,"82 Outils et outillage, articles de coutellerie et couverts de table, en métaux communs; parties de ces articles, en métaux communs",15546278.0,5688783.0,5100208.0
72,83 Ouvrages divers en métaux communs,511641.0,990780.0,505698.0
73,"84 Réacteurs nucléaires, chaudières, machines, appareils et engins mécaniques; parties de ces machines ou appareils",184089509.0,408829628.0,262108232.0
74,"85 Machines, appareils et matériels électriques et leurs parties; appareils d'enregistrement ou de reproduction du son ou des images; parties et accessoires",174813728.0,165522314.0,149124659.0
75,86 Véhicules et matériel pour voies ferrées ou similaires et leurs parties; appareils mécaniques de signalisation pour voies de communications,1533390.0,10686273.0,18503615.0
76,"87 Voitures automobiles, tracteurs, cycles et autres véhicules terrestres; leurs parties et accessoires",68775816.0,62856074.0,32036265.0
77,88 Navigation aérienne ou spatiale,1744930647.0,1146347760.0,658599818.0
78,89 Navigation maritime ou fluviale,106667794.0,637484919.0,200994339.0
79,"90 Instruments et appareils d'optique, de photographie ou cinématographie, de mesure, de contrôle ou de précision; médico-chirurgicaux; parties et accessoires",67047255.0,132130014.0,191560323.0
80,91 Horlogerie,460834.0,5814399.0,509302.0
81,92 Instruments de musique; parties et accessoires de ces instruments,880756.0,1702709.0,1006622.0
82,"93 Armes, munitions et leurs parties et accessoires",,,976252.0
83,94 Meubles; appareils d'éclairage; enseignes lumineuses; plaques indicatrices; luminaires et articles similaires; constructions préfabriquées,37195398.0,949380.0,47608060.0
84,"95 Jouets, jeux, articles pour divertissement et pour sports; leurs parties et accessoires",7772563.0,15825411.0,3618334.0
85,96 Ouvrages divers,6817216.0,3216798.0,4178174.0
86,"97 Objets d'art, de collection ou d'antiquité",30040196.0,22431387.0,16815232.0
87,99 Divers,,20352426.0,3861304.0
88,Grand Total,11766488602.0,12067672056.0,7424583731.0
