,Produit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
19,"19 Préparations à base de céréales, de farines, de fécules ou de lait; pâtisseries",2777641.0,759087.0,1439660.0,3877673.0,3697530.0,4293886.0,3373659.0,3475345.0,3283667.0,5038566.0,4001483.0,2353619.0,732426.0,332206.0,857158.0,576212.0,530435.0,563615.0,2020244.0,1075091.0,1473467.0,577565.0,1266329.0,1390551.0,168720.0,1409070.0,2346050.0,55680.0,598300.0,3920.0
20,"20 Préparation de légumes, de fruits ou d'autres parties de plantes",311659773.0,491521655.0,540298616.0,646583329.0,697622680.0,600272926.0,664986215.0,675515033.0,551875527.0,523404308.0,650638707.0,791689520.0,754412620.0,790594460.0,613129038.0,762378052.0,1173442501.0,1437462029.0,1320966376.0,947674707.0,964279825.0,862379375.0,373757366.0,350129646.0,272652920.0,73190550.0,22586740.0,2318950.0,3319380.0,8574850.0
21,21 Préparations alimentaires diverses,13884993.0,150875.0,1003806.0,6279971.0,2026361.0,1770985.0,3988548.0,3419058.0,2870921.0,6019003.0,1874762.0,3027373.0,4827912.0,8101626.0,6202508.0,10928716.0,11944992.0,26299786.0,8891398.0,3822847.0,1573178.0,8068307.0,5008236.0,3064198.0,6043750.0,2773550.0,7770680.0,1106390.0,9801090.0,876050.0
22,"22 Boissons, liquides alcooliques et vinaigres",69957688.0,45646548.0,31038494.0,63103781.0,69514227.0,77055841.0,92774504.0,95481697.0,100774654.0,166906902.0,89750078.0,91990645.0,108741576.0,92174267.0,125766793.0,160528322.0,218869274.0,206508830.0,287501352.0,87747553.0,81092249.0,74663632.0,42218558.0,28899668.0,15704130.0,26387340.0,32396760.0,37247450.0,20518920.0,22472065.0
23,23 Résidus et déchets des industries alimentaires; aliments préparés pour animaux,255460.0,7452493.0,,6453092.0,2667017.0,2160858.0,3635825.0,9689860.0,7697163.0,4402354.0,5478064.0,,,2804693.0,819884.0,722786.0,2209851.0,2095728.0,51250.0,2898039.0,5313628.0,1093307.0,48829803.0,250000.0,1047320.0,386150.0,374170.0,4565980.0,4274290.0,4114950.0
24,24 Tabacs et succédanés de tabac fabriqués,,,143198.0,,10000.0,115067.0,37068.0,81601.0,47144.0,56257.0,75481.0,,,,,,202902.0,,101193.0,899500.0,104449.0,542889.0,8621263.0,1021539.0,,,,464600.0,,
25,"25 Sel, soufre, terres et pierres, plâtres, chaux et ciment",4747166.0,4276730.0,2289485.0,4288623.0,4632305.0,18878173.0,2955343.0,1295084.0,2952636.0,1188693.0,1196245.0,1398644.0,2368878.0,9544038.0,5803648.0,13105613.0,7963930.0,1304641.0,833703.0,371009.0,,2000.0,28300480.0,,33910.0,103250.0,2710.0,10000.0,5700.0,10000.0
26,"26 Minerais, scories et cendres",,,,,,,,,861.0,,,,,,,,,10000.0,,,,,,,,,,,,21190.0
27,"27 Combustibles minéraux, huiles minérales et produits de leur distillation; matières bitumineuses; cires minérales",4954020.0,8212458.0,18247136.0,4412441.0,2167796.0,5905930.0,3083630.0,705038.0,1079620.0,2470698.0,1380027.0,4813194.0,5268880.0,7226349.0,11013007.0,8650753.0,4408710.0,1611965.0,611499.0,3402982.0,1364967.0,1643682.0,406847.0,84480.0,680990.0,1239070.0,907890.0,6500000.0,33600.0,1121890.0
28,"28 Produits chimiques inorganiques; composés inorganiques ou organiques de métaux précieux, d'éléments radioactifs, de métaux des terres rares et d'isotopes",2173498.0,4599864.0,901437.0,2192752.0,2045870.0,757485.0,358100.0,659430.0,463260.0,380128.0,,3353489.0,3055470.0,859487.0,336038.0,710488.0,194508.0,865740.0,4321114.0,1191917.0,266728.0,3000.0,216680.0,43770.0,,,313490.0,576580.0,,
29,29 Produits chimiques organiques,1206.0,68751.0,69137.0,99.0,1048.0,,6025.0,4405.0,2687.0,196515.0,54689.0,129877.0,69001.0,31883.0,,21600.0,27451.0,173998.0,33193.0,,2000.0,179725.0,51030.0,250517.0,,,275260.0,200000.0,216760.0,41770.0
30,30 Produits pharmaceutiques,13940992.0,15749573.0,19548427.0,38973688.0,31691721.0,32916581.0,39672615.0,26362169.0,20245399.0,1918204.0,4445438.0,4103365.0,4175779.0,1886724.0,358843.0,3348474.0,6361378.0,1306643.0,8756300.0,23079421.0,3701871.0,10286669.0,283945.0,7915368.0,2326800.0,3426870.0,156060.0,1735840.0,20465010.0,1440090.0
31,31 Engrais,,,,3580.0,1193.0,,,,,7550.0,11635.0,,,,,,61841.0,,,,,,,,,,,,,
32,32 Extraits tannants ou tinctoriaux et leurs derives; pigments et autres matières colorantes; peintures et vernis; mastics; encres,1109980.0,975323.0,471762.0,537093.0,1986912.0,1158179.0,824267.0,872280.0,1839276.0,1212927.0,645031.0,1112440.0,1040500.0,783654.0,1399650.0,2310741.0,476888.0,476341.0,570737.0,2725302.0,427512.0,568001.0,261930.0,41668.0,123950.0,299390.0,277100.0,527530.0,731330.0,1530690.0
33,"33 Huiles essentielles et résinoïdes, produits de parfumerie ou de toilette préparés et préparations cosmétiques",265189450.0,288153756.0,301372149.0,382527291.0,403839975.0,396636489.0,338024949.0,354603782.0,268410322.0,231742163.0,247555393.0,276549990.0,225068019.0,168645784.0,309308745.0,280341579.0,248176939.0,239973247.0,235173523.0,199078472.0,258475665.0,177342635.0,139523433.0,157056236.0,141100670.0,117068230.0,136696920.0,192802550.0,175838750.0,130721250.0
34,34 Savons; agents de surface organiques; préparations pour lessives; cires; bougies; produits d'entretien; pâtes à modeler; cires pour l'art dentaire,5980805.0,7362535.0,7754404.0,7945352.0,7452242.0,11145819.0,7306998.0,10851066.0,4497512.0,7945164.0,3990360.0,2736458.0,3662928.0,2387919.0,2919703.0,2535698.0,7250728.0,4319351.0,2823620.0,6568065.0,3610816.0,3935416.0,4383272.0,5879886.0,2174950.0,4814140.0,4995360.0,5570810.0,6409490.0,3106260.0
35,35 Matières abluminoïdes; produits à base d'amidons ou de fécules modifiés; colles; enzymes,12286.0,91173.0,40839.0,24490.0,39020.0,38762.0,10539.0,18772.0,38501.0,519888.0,5100.0,22046.0,51893.0,4387.0,1200.0,,114368.0,2095.0,10052.0,490.0,,,,30741.0,,7900.0,28260.0,,,23850.0
36,"36 Poudres, explosifs; articles de pyrotechnie; allumettes; alliages pyrophoriques; matières inflammables",,72828.0,5164.0,15492.0,73334.0,,52216.0,20170.0,,74410.0,10751.0,4369.0,,,,,30650.0,,10000.0,50000.0,,111672.0,,,,283100.0,,,,
