,Produit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
80,83 Ouvrages divers en métaux communs,814154.0,990780.0,505698.0,1848948.0,540936.0,475929.0,168599.0,806309.0,866211.0,781714.0,2676087.0,1593394.0,851121.0,517307.0,3184054.0,1136985.0,3456924.0,3165459.0,4615177.0,366477.0,779819.0,1039807.0,73698.0,3649991.0,1449970.0,786850.0,1854430.0,731590.0,1630620.0,6664210.0
81,"84 Réacteurs nucléaires, chaudières, machines, appareils et engins mécaniques; parties de ces machines ou appareils",188897865.0,408829628.0,262108232.0,419538365.0,303877442.0,251743824.0,256063645.0,217971640.0,359812137.0,158450980.0,205724008.0,1159898923.0,388986752.0,277214458.0,344321567.0,342388185.0,559410427.0,497420180.0,261239524.0,264770432.0,257640315.0,946697746.0,780697570.0,903504765.0,1095551680.0,790218390.0,1020466158.0,1081941427.0,608672738.0,540050982.0
82,"85 Machines, appareils et matériels électriques et leurs parties; appareils d'enregistrement ou de reproduction du son ou des images; parties et accessoires",182898381.0,165522314.0,149124659.0,170771685.0,114537381.0,169626344.0,114616557.0,162010480.0,170297037.0,105933121.0,86973324.0,68457414.0,104060009.0,126460052.0,86974190.0,59442986.0,113661853.0,61738261.0,131033712.0,76428250.0,112842405.0,128391915.0,98356200.0,171282245.0,244534850.0,217011560.0,345957850.0,374934218.0,370245444.0,262190229.0
83,86 Véhicules et matériel pour voies ferrées ou similaires et leurs parties; appareils mécaniques de signalisation pour voies de communications,1533390.0,10686273.0,18503615.0,449146.0,2536600.0,1384228.0,35294235.0,10023578.0,33528200.0,,,178995.0,8904761.0,8736531.0,11231464.0,370000.0,635426.0,193911.0,388608.0,219330.0,391540.0,26856.0,50000.0,366410.0,298540.0,492000.0,200000.0,40000.0,190000.0,352190.0
84,"87 Voitures automobiles, tracteurs, cycles et autres véhicules terrestres; leurs parties et accessoires",75356436.0,62856074.0,32036265.0,56122866.0,75093210.0,48532613.0,44212165.0,63932345.0,43435314.0,56693985.0,81946948.0,77686370.0,90477327.0,102520754.0,76591411.0,52783923.0,79330603.0,111110574.0,100802136.0,87357924.0,51059987.0,39423415.0,37837016.0,87501262.0,56736680.0,52142200.0,62804710.0,62852230.0,46222800.0,76802425.0
85,88 Navigation aérienne ou spatiale,1999187346.0,1146347760.0,658599818.0,3059329494.0,808387548.0,1343847748.0,1795302192.0,997522517.0,1536228281.0,727603929.0,205569700.0,1158649796.0,244393909.0,796434741.0,1995542079.0,274032974.0,1536057898.0,1868960251.0,1561322968.0,678041110.0,831693823.0,2946558893.0,769044633.0,1884329129.0,762712620.0,1970975920.0,1002254230.0,2002871120.0,930252010.0,813878390.0
86,89 Navigation maritime ou fluviale,106791640.0,637484919.0,200994339.0,148517514.0,760338406.0,988753287.0,5132862073.0,67736219.0,202880636.0,206116097.0,90624225.0,100623353.0,1655929223.0,193692384.0,142513769.0,198772458.0,236422887.0,206329995.0,157203207.0,863045930.0,982165788.0,383108208.0,547295298.0,1261766296.0,894122810.0,392102920.0,137100470.0,636235250.0,515049800.0,297021170.0
87,"90 Instruments et appareils d'optique, de photographie ou cinématographie, de mesure, de contrôle ou de précision; médico-chirurgicaux; parties et accessoires",75260067.0,132130014.0,191560323.0,181942833.0,144086710.0,128780804.0,103910959.0,103620560.0,102748562.0,68650958.0,76104531.0,93719399.0,128727065.0,154685257.0,96536827.0,69062579.0,176212135.0,101532321.0,100589522.0,117985894.0,169818531.0,99136940.0,68133248.0,182840326.0,245549420.0,249200070.0,246258907.0,283233393.0,278225775.0,264279030.0
88,91 Horlogerie,460834.0,5814399.0,509302.0,304007.0,72667.0,1311593.0,1204604.0,528676.0,1849194.0,940331.0,465638.0,1129591.0,1021696.0,2913304.0,508641.0,80104.0,116796.0,667559.0,411474.0,2129886.0,1860699.0,2694590.0,8072480.0,7413939.0,9074320.0,2754570.0,8131860.0,5768350.0,13402520.0,9932670.0
89,92 Instruments de musique; parties et accessoires de ces instruments,880756.0,1702709.0,1006622.0,747542.0,756050.0,458200.0,566110.0,1675979.0,1728957.0,1424730.0,285800.0,1762589.0,1535733.0,328295.0,1262631.0,1361345.0,1627575.0,840228.0,1186745.0,315014.0,1532689.0,194240.0,,1363748.0,76030.0,152270.0,2070000.0,350000.0,1641680.0,370060.0
90,"93 Armes, munitions et leurs parties et accessoires",,,976252.0,,964625.0,100476.0,95464.0,2525655.0,,1379813.0,,239256650.0,35799.0,119330.0,60023.0,71598.0,,512943.0,1849615.0,161004.0,983547.0,308354.0,,40000.0,6136180.0,159090.0,100000.0,13150.0,239990.0,20600.0
91,94 Meubles; appareils d'éclairage; enseignes lumineuses; plaques indicatrices; luminaires et articles similaires; constructions préfabriquées,37195398.0,949380.0,47608060.0,9850429.0,14672321.0,5346992.0,20158244.0,4171016.0,6942976.0,7952771.0,3921422.0,4562217.0,10934445.0,17164064.0,9091216.0,5900184.0,18539607.0,4430374.0,20217869.0,9161796.0,17210730.0,4284115.0,4034048.0,2615435.0,1331980.0,2269580.0,867250.0,1979300.0,2773990.0,8481580.0
92,"95 Jouets, jeux, articles pour divertissement et pour sports; leurs parties et accessoires",8460769.0,15825411.0,3618334.0,12226240.0,3396522.0,8522907.0,16330621.0,7621243.0,5261870.0,12906192.0,2435327.0,3896681.0,4869174.0,2324972.0,1182888.0,1565544.0,2915370.0,3293538.0,2055925.0,5217130.0,4431717.0,6551264.0,17985562.0,3696673.0,3609410.0,1496290.0,2133895.0,1736800.0,1640640.0,877380.0
93,96 Ouvrages divers,7472770.0,3216798.0,4178174.0,9696307.0,6642448.0,10666749.0,7080581.0,8895411.0,7704706.0,8778236.0,6195169.0,7449603.0,7704145.0,11301680.0,12238518.0,15822870.0,11978127.0,16462426.0,14963294.0,17216670.0,11866942.0,9890061.0,6278089.0,71165903.0,3429000.0,20853145.0,20102048.0,63960145.0,49881020.0,100467930.0
94,"97 Objets d'art, de collection ou d'antiquité",37211807.0,22431387.0,16815232.0,23657218.0,29578354.0,40876644.0,30592846.0,27446924.0,56854961.0,8993886.0,3915204.0,13207885.0,31151524.0,72499110.0,25297600.0,7761798.0,8043669.0,7662608.0,12571100.0,8723102.0,8459911.0,126928006.0,22965665.0,6669126.0,13678220.0,6982400.0,160398550.0,39949110.0,61884190.0,14451870.0
95,99 Divers,,20352426.0,3861304.0,,,119330.0,,,,,,,,,1603438.0,,,,,,,,,,,,,,,
96,Grand Total,13231653808.0,12067672056.0,7424583731.0,14249366039.0,14899212059.0,16150837666.0,18797842312.0,14101741745.0,15305555369.0,13592983721.0,12872746111.0,14384816255.0,13868311903.0,12511169072.0,16189889544.0,16719409615.0,18651351035.0,20165265729.0,17735803174.0,15811967178.0,21074525984.0,23392591702.0,25949734492.0,25838374585.0,20159752877.0,20361489788.0,18747775037.0,15455909748.0,16181693478.0,11272244366.0
