,Provenance,2022,2022,2021,2021,2020,2020,2019,2019,2018,2018,2017,2017,2016,2016,2015,2015,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2005,2005,2004,2004,2003,2003,2002,2002,2001,2001,2000,2000,1999,1999,1998,1998,1997,1997,1996,1996,1995,1995,1994,1994,1993,1993
,,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids,Valeur,Poids
22,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,417371.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sénégal,1346059.0,7680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372295.0,1150.0,52000.0,1.0,121552.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,Togo,27193.0,30.0,,,63554.0,22.0,,,,,,,81144.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225010.0,1130.0,,,,
25,Tunisie,,,,,,,,,,,,,,,,,,,139000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12167184.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Antigua et Barbuda,,,514200.0,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Antilles Néerlandaises,,,,,,,,,,,,,,,,,,,,,,,1843.0,126.0,,,212800.0,0.0,49461143.0,51.0,18373462.0,23.0,754762.0,0.0,11156159.0,3.0,,,26729000.0,9500.0,7723783.0,19.0,,,25895.0,1.0,102310.0,48.0,54409030.0,17000.0,,,,,346010.0,95.0,414660.0,195.0,,
29,Argentine,,,,,58747.0,0.5,54900.0,1.0,50715.0,1.0,,,,,616985.0,147.0,87780.0,160.0,99700.0,0.0,,,1358.0,28.0,,,,,,,,,,,31102.0,0.0,546850.0,343.0,,,,,,,663000.0,13.0,,,,,676620.0,486.0,169100.0,190.0,,,,,548180.0,44.0
30,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984780.0,2.0,,,625000.0,1.0
31,Bahamas,,,,,,,,,,,,,,,,,,,,,,,51800.0,0.0,,,,,,,,,,,,,,,,,,,,,1786107.0,2.0,,,,,,,259730.0,110.0,,,,,,
32,Barbade,,,,,,,,,1443491.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94683.0,1.0,,,,,,,,,,,,,,,,
34,Bolivie,,,26498.0,0.5,,,,,,,,,,,,,,,,,23028.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Brésil,4231725.0,1007.542,10644258.0,77.0,1923142.0,260.0,8619194.0,3391.0,3623779.0,184.0,4552954.0,332.0,1928970.0,55.0,1654857.0,92.0,18540268.0,105724.0,2352633.0,1257.0,7077699.0,4936.0,16152410.0,42748.0,5508993.0,1186.0,2113670.0,3201.0,1610800.0,0.0,732884.0,1.0,444038.0,2.0,1901290.0,25.0,4692000.0,5.0,3062900.0,5.0,3896353.0,1.0,778322.0,1.0,,,752000.0,1.0,554470.0,329.0,,,3648650.0,34.0,,,,,,
36,Chili,21575539.0,10310.869999999997,4715737.0,1455.9509999999996,73454546.0,38859.696,100084281.0,69470.53000000006,155721422.0,98225.0,161944070.0,104489.0,95021960.0,78700.0,49710106.0,44204.0,40023580.0,36509.0,37493868.0,42556.0,43083798.0,69966.0,19354100.0,25635.0,9303486.0,14038.0,10725894.0,14820.0,5306995.0,8005.0,28686061.0,7228.0,4603509.0,5512.0,5781360.0,2835.0,5592149.0,5946.0,12236904.0,14737.0,9770493.0,4207.0,8076526.0,4254.0,9258723.0,13871.0,3878940.0,8975.0,5039455.0,3058.0,942950.0,1869.0,1632660.0,2315.0,7530460.0,3561.0,6241970.0,2236.0,3081050.0,3217.0
37,Colombie,,,,,,,,,,,260000.0,1.0,200000.0,0.0,,,722797709.0,11765.0,591944010.0,11783.0,250000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Costa Rica,82431.0,0.5,23866.0,3.0,,,,,,,,,,,,,6681.0,84.0,,,,,,,,,,,,,,,,,,,,,,,1211740.0,129.0,,,,,,,,,,,,,,,,,,
39,Cuba,,,,,,,,,,,,,,,,,,,26397.0,28.0,,,,,,,,,,,,,18854.0,3.0,,,,,,,64409.0,500.0,,,,,,,,,,,,,,,,,,
